pid,voteId,result,state,lastTouched,dr_id,lastTouched_ts,voteId,bid,mid,cid,VoteDate,ayes,naes,abstain,result,lastTouched,VoteDateSeq,VoteDate_ts,lastTouched_ts
1,35192,AYE,CA,"2016-07-12 23:25:29",93,1468365929,35192,CA_201520160SB119,147638,55,"2015-04-14 00:00:00",9,2,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35193,AYE,CA,"2016-07-12 23:25:29",94,1468365929,35193,CA_201520160SB325,147622,55,"2015-04-14 00:00:00",10,0,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35194,AYE,CA,"2016-07-12 23:25:29",95,1468365929,35194,CA_201520160SB449,147517,55,"2015-04-14 00:00:00",11,0,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35195,AYE,CA,"2016-07-12 23:25:29",96,1468365929,35195,CA_201520160SB462,147517,55,"2015-04-14 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35196,AYE,CA,"2016-07-12 23:25:29",97,1468365929,35196,CA_201520160SB547,147518,55,"2015-04-14 00:00:00",8,3,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35197,AYE,CA,"2016-07-12 23:25:29",98,1468365929,35197,CA_201520160SB549,147753,55,"2015-04-14 00:00:00",10,0,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35198,AYE,CA,"2016-07-12 23:25:32",99,1468365932,35198,CA_201520160SB685,147517,55,"2015-04-14 00:00:00",11,0,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35201,AYE,CA,"2016-07-12 23:25:32",100,1468365932,35201,CA_201520160SB692,147517,55,"2015-04-14 00:00:00",11,0,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35202,AYE,CA,"2016-07-12 23:25:32",101,1468365932,35202,CA_201520160SB703,147638,55,"2015-04-14 00:00:00",7,3,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35203,AYE,CA,"2016-07-12 23:25:32",102,1468365932,35203,CA_201520160SB796,147622,55,"2015-04-14 00:00:00",10,0,0,(PASS),"2016-07-12 23:23:37",1,1428969600,1468365817
1,35316,AYE,CA,"2016-07-12 23:25:11",103,1468365911,35316,CA_201520160AB91,147636,452,"2015-03-25 22:20:00",36,1,2,(PASS),"2016-07-12 23:23:38",1002,1427322000,1468365818
1,35317,AYE,CA,"2016-07-12 23:25:11",104,1468365911,35317,CA_201520160AB92,147637,452,"2015-03-25 22:20:00",25,14,0,(PASS),"2016-07-12 23:23:38",1003,1427322000,1468365818
1,35373,AYE,CA,"2016-07-12 23:25:30",105,1468365930,35373,CA_201520160SJR4,147739,452,"2015-04-13 14:56:00",23,12,4,(PASS),"2016-07-12 23:23:38",1008,1428936960,1468365818
1,35374,AYE,CA,"2016-07-12 23:25:30",106,1468365930,35374,CA_201520160SCR33,147740,452,"2015-04-13 15:55:00",34,0,5,(PASS),"2016-07-12 23:23:38",1003,1428940500,1468365818
1,35375,AYE,CA,"2016-07-12 23:25:30",107,1468365930,35375,CA_201520160SB693,147741,452,"2015-04-13 14:31:00",31,1,7,(PASS),"2016-07-12 23:23:38",1004,1428935460,1468365818
1,35376,AYE,CA,"2016-07-12 23:25:30",108,1468365930,35376,CA_201520160SB176,147742,452,"2015-04-13 14:50:00",35,0,4,(PASS),"2016-07-12 23:23:38",1007,1428936600,1468365818
1,35377,AYE,CA,"2016-07-12 23:25:30",109,1468365930,35377,CA_201520160SB411,147743,452,"2015-04-13 15:37:00",31,3,5,(PASS),"2016-07-12 23:23:38",1010,1428939420,1468365818
1,35378,AYE,CA,"2016-07-12 23:25:31",110,1468365931,35378,CA_201520160SCR25,147744,452,"2015-04-13 14:42:00",34,0,5,(PASS),"2016-07-12 23:23:38",1005,1428936120,1468365818
1,35433,AYE,CA,"2016-07-12 23:25:30",111,1468365930,35433,CA_201520160SJR4,147738,452,"2015-04-13 15:29:00",22,10,7,(PASS),"2016-07-12 23:23:38",1009,1428938940,1468365818
1,35573,AYE,CA,"2016-07-12 23:25:25",112,1468365925,35573,CA_201520160SB260,147622,58,"2015-04-08 00:00:00",7,0,0,(PASS),"2016-07-12 23:23:39",1,1428451200,1468365819
1,35574,AYE,CA,"2016-07-12 23:25:22",113,1468365922,35574,CA_201520160SB426,147619,58,"2015-04-08 00:00:00",7,0,0,(PASS),"2016-07-12 23:23:39",1,1428451200,1468365819
1,35575,AYE,CA,"2016-07-12 23:25:22",114,1468365922,35575,CA_201520160SB585,147638,58,"2015-04-08 00:00:00",6,0,0,(PASS),"2016-07-12 23:23:39",1,1428451200,1468365819
1,35576,AYE,CA,"2016-07-12 23:25:22",115,1468365922,35576,CA_201520160SB602,147685,58,"2015-04-08 00:00:00",7,0,0,(PASS),"2016-07-12 23:23:39",1,1428451200,1468365819
1,35596,AYE,CA,"2016-07-12 23:24:58",116,1468365898,35596,CA_201520160SCR26,147535,452,"2015-03-23 14:45:00",32,0,7,(PASS),"2016-07-12 23:23:39",1002,1427121900,1468365819
1,35597,AYE,CA,"2016-07-12 23:24:59",117,1468365899,35597,CA_201520160SR19,147536,452,"2015-03-23 14:52:00",36,0,3,(PASS),"2016-07-12 23:23:39",1003,1427122320,1468365819
1,35598,AYE,CA,"2016-07-12 23:24:54",118,1468365894,35598,CA_201520160SB75,147537,452,"2015-03-23 15:09:00",23,13,3,(PASS),"2016-07-12 23:23:39",1004,1427123340,1468365819
1,35599,AYE,CA,"2016-07-12 23:24:55",119,1468365895,35599,CA_201520160SB76,147538,452,"2015-03-23 15:16:00",23,13,3,(PASS),"2016-07-12 23:23:39",1005,1427123760,1468365819
1,35600,AYE,CA,"2016-07-12 23:24:55",120,1468365895,35600,CA_201520160SB77,147539,452,"2015-03-23 15:16:00",23,13,3,(PASS),"2016-07-12 23:23:39",1006,1427123760,1468365819
1,35601,AYE,CA,"2016-07-12 23:24:56",121,1468365896,35601,CA_201520160SB78,147540,452,"2015-03-23 15:16:00",23,13,3,(PASS),"2016-07-12 23:23:39",1007,1427123760,1468365819
1,35602,AYE,CA,"2016-07-12 23:24:56",122,1468365896,35602,CA_201520160SB79,147541,452,"2015-03-23 15:16:00",23,13,3,(PASS),"2016-07-12 23:23:39",1008,1427123760,1468365819
1,35603,AYE,CA,"2016-07-12 23:24:56",123,1468365896,35603,CA_201520160SB80,147542,452,"2015-03-23 15:16:00",23,13,3,(PASS),"2016-07-12 23:23:39",1009,1427123760,1468365819
1,35604,AYE,CA,"2016-07-12 23:24:56",124,1468365896,35604,CA_201520160SB81,147543,452,"2015-03-23 15:16:00",23,13,3,(PASS),"2016-07-12 23:23:39",1010,1427123760,1468365819
1,35605,AYE,CA,"2016-07-12 23:24:57",125,1468365897,35605,CA_201520160SB82,147544,452,"2015-03-23 15:17:00",23,13,3,(PASS),"2016-07-12 23:23:39",1011,1427123820,1468365819
1,35606,AYE,CA,"2016-07-12 23:24:57",126,1468365897,35606,CA_201520160SB83,147545,452,"2015-03-23 15:17:00",23,13,3,(PASS),"2016-07-12 23:23:39",1012,1427123820,1468365819
1,35607,AYE,CA,"2016-07-12 23:24:57",127,1468365897,35607,CA_201520160SB84,147546,452,"2015-03-23 15:18:00",23,13,3,(PASS),"2016-07-12 23:23:39",1013,1427123880,1468365819
1,35608,AYE,CA,"2016-07-12 23:24:58",128,1468365898,35608,CA_201520160SB85,147547,452,"2015-03-23 15:18:00",23,13,3,(PASS),"2016-07-12 23:23:39",1014,1427123880,1468365819
1,35609,AYE,CA,"2016-07-12 23:24:58",129,1468365898,35609,CA_201520160SB86,147548,452,"2015-03-23 15:18:00",23,13,3,(PASS),"2016-07-12 23:23:39",1015,1427123880,1468365819
1,35610,AYE,CA,"2016-07-12 23:24:55",130,1468365895,35610,CA_201520160SB87,147549,452,"2015-03-23 15:19:00",23,13,3,(PASS),"2016-07-12 23:23:39",1016,1427123940,1468365819
1,35611,AYE,CA,"2016-07-12 23:24:56",131,1468365896,35611,CA_201520160SB88,147550,452,"2015-03-23 15:19:00",23,13,3,(PASS),"2016-07-12 23:23:39",1017,1427123940,1468365819
1,35612,AYE,CA,"2016-07-12 23:24:56",132,1468365896,35612,CA_201520160SB89,147551,452,"2015-03-23 15:19:00",23,13,3,(PASS),"2016-07-12 23:23:39",1019,1427123940,1468365819
