bid,hid
TX_20170HR2125,251988
TX_20170HR2126,251988
TX_20170HR2127,251988
TX_20170HR2128,251988
TX_20170HR2129,251988
TX_20170HR2130,251988
TX_20170HR2133,251988
TX_20170HR2135,251988
TX_20170HR2136,251988
TX_20170HR2137,251988
TX_20170HR2138,251988
TX_20170HR2139,251988
TX_20170HR2140,251988
TX_20170HR2141,251988
TX_20170HR2142,251988
TX_20170HR2144,251988
TX_20170HR2146,251988
TX_20170HR2147,251988
TX_20170HR2148,251988
TX_20170HR2149,251988
TX_20170HR2150,251988
TX_20170HR2151,251988
TX_20170HR2152,251988
TX_20170HR2153,251988
TX_20170HR2154,251988
TX_20170HR2155,251988
TX_20170HR2156,251988
TX_20170HR2157,251988
TX_20170HR2158,251988
TX_20170HR2159,251988
TX_20170HR2160,251988
TX_20170HR2161,251988
TX_20170HR2162,251988
TX_20170HR2163,251988
TX_20170HR2164,251988
TX_20170HR2165,251988
TX_20170HR2166,251988
TX_20170HR2167,251988
TX_20170HR2168,251988
TX_20170HR2169,251988
TX_20170HR2170,251988
TX_20170HR2171,251988
TX_20170HR2172,251988
TX_20170HR2173,251988
TX_20170HR2174,251988
TX_20170HR2175,251988
TX_20170HR2176,251988
TX_20170HR2177,251988
TX_20170HR2179,251988
TX_20170HR2180,251988
TX_20170HR2181,251988
TX_20170HR2182,251988
TX_20170HR2183,251988
TX_20170HR2184,251988
TX_20170HR2186,251988
TX_20170HR2187,251988
TX_20170HR2188,251988
TX_20170HR2189,251988
TX_20170HR2190,251988
TX_20170HR1794,251990
TX_20170HR1795,251990
TX_20170HR1796,251990
TX_20170HR1797,251990
TX_20170HR1798,251990
TX_20170HR1799,251990
TX_20170HR1800,251990
TX_20170HR1801,251990
TX_20170HR1802,251990
TX_20170HR1803,251990
TX_20170HR1804,251990
TX_20170HR1805,251990
TX_20170HR1806,251990
TX_20170HR1807,251990
TX_20170HR1808,251990
TX_20170HR1809,251990
TX_20170HR1810,251990
TX_20170HR1811,251990
TX_20170HR1812,251990
TX_20170HR1813,251990
TX_20170HR1814,251990
TX_20170HR1815,251990
TX_20170HR1816,251990
TX_20170HR1817,251990
TX_20170HR1818,251990
TX_20170HR1819,251990
TX_20170HR1820,251990
TX_20170HR1821,251990
TX_20170HR1822,251990
TX_20170HR1823,251990
TX_20170HR1824,251990
TX_20170HR1825,251990
TX_20170HR1826,251990
TX_20170HR1827,251990
TX_20170HR1834,251990
TX_20170HR1835,251990
TX_20170HR1836,251990
TX_20170HR1837,251990
TX_20170HR1838,251990
TX_20170HR1840,251990
TX_20170HR1843,251990
TX_20170HR1845,251990
TX_20170HR1846,251990
TX_20170HR1848,251990
TX_20170HR1849,251990
TX_20170HR1850,251990
TX_20170HR1853,251990
TX_20170HR1856,251990
TX_20170HR1857,251990
TX_20170HR1858,251990
TX_20170HR1859,251990
TX_20170HR1860,251990
TX_20170HR1861,251990
TX_20170HR1862,251990
TX_20170HR1863,251990
TX_20170HR1864,251990
TX_20170HR1865,251990
TX_20170HR1866,251990
TX_20170HR1867,251990
TX_20170HR1868,251990
TX_20170HR1870,251990
TX_20170HR1873,251990
TX_20170HR1874,251990
TX_20170HR1875,251990
TX_20170HR1877,251990
TX_20170HR1878,251990
TX_20170HR1879,251990
TX_20170HR1880,251990
TX_20170HR1881,251990
TX_20170HR1882,251990
TX_20170HR1883,251990
TX_20170HR1884,251990
TX_20170HR1885,251990
TX_20170HR1886,251990
TX_20170HR1579,251991
TX_20170HR1580,251991
TX_20170HR1581,251991
TX_20170HR1582,251991
TX_20170HR1585,251991
TX_20170HR1586,251991
TX_20170HR1587,251991
TX_20170HR1588,251991
TX_20170HR1589,251991
TX_20170HR1591,251991
TX_20170HR1592,251991
TX_20170HR1593,251991
TX_20170HR1594,251991
TX_20170HR1595,251991
TX_20170HR1596,251991
TX_20170HR1597,251991
TX_20170HR1598,251991
TX_20170HR1599,251991
TX_20170HR1600,251991
TX_20170HR1601,251991
TX_20170HR1602,251991
TX_20170HR1603,251991
TX_20170HR1604,251991
TX_20170HR1605,251991
TX_20170HR1606,251991
TX_20170HR1607,251991
TX_20170HR1608,251991
TX_20170HR1609,251991
TX_20170HR1610,251991
TX_20170HR1611,251991
TX_20170HR1613,251991
TX_20170HR1615,251991
TX_20170HR1616,251991
TX_20170HR1617,251991
TX_20170HR1618,251991
TX_20170HR1619,251991
TX_20170HR1620,251991
TX_20170HR1622,251991
TX_20170HR1623,251991
TX_20170HR1624,251991
TX_20170HR1626,251991
TX_20170HR1627,251991
TX_20170HR1628,251991
TX_20170HR1631,251991
TX_20170HR1632,251991
TX_20170HR1634,251991
TX_20170HR1635,251991
TX_20170HR1641,251991
TX_20170HR1642,251991
TX_20170HR1643,251991
TX_20170HR1644,251991
TX_20170HR1645,251991
TX_20170HR1646,251991
TX_20170HR1647,251991
TX_20170HR1648,251991
TX_20170HR1650,251991
TX_20170HR1651,251991
TX_20170HR1652,251991
TX_20170HR1653,251991
TX_20170HR1655,251991
TX_20170HR1656,251991
TX_20170HR1657,251991
TX_20170HR1658,251991
TX_20170HR1659,251991
TX_20170HR1660,251991
TX_20170HR1661,251991
TX_20170HR1662,251991
TX_20170HR1663,251991
TX_20170HR1664,251991
TX_20170HR1665,251991
TX_20170HR1666,251991
TX_20170HR1667,251991
TX_20170HR1668,251991
TX_20170HR2191,251988
TX_20170HR2192,251988
TX_20170HR2193,251988
TX_20170HR2194,251988
TX_20170HR2195,251988
TX_20170HR2196,251988
TX_20170HR2197,251988
TX_20170HR2198,251988
TX_20170HR2199,251988
TX_20170HR2200,251988
TX_20170HR2201,251988
TX_20170HR2202,251988
TX_20170HR2203,251988
TX_20170HR2204,251988
TX_20170HR2205,251988
TX_20170HR2206,251988
TX_20170HR2208,251988
TX_20170HR2210,251988
TX_20170HR2211,251988
TX_20170HR2212,251988
TX_20170HR2213,251988
TX_20170HR2214,251988
TX_20170HR2215,251988
TX_20170HR2216,251988
TX_20170HR2218,251988
TX_20170HR2219,251988
TX_20170HR2220,251988
TX_20170HR2221,251988
TX_20170HR2223,251988
TX_20170HR2224,251988
TX_20170HR1968,251989
TX_20170HR1969,251989
TX_20170HR1970,251989
TX_20170HR1971,251989
TX_20170HR1972,251989
TX_20170HR1973,251989
TX_20170HR1974,251989
TX_20170HR1975,251989
TX_20170HR1976,251989
TX_20170HR1978,251989
TX_20170HR1979,251989
TX_20170HR1980,251989
TX_20170HR1981,251989
TX_20170HR1982,251989
TX_20170HR1983,251989
TX_20170HR1984,251989
TX_20170HR1985,251989
TX_20170HR1986,251989
TX_20170HR1987,251989
TX_20170HR1988,251989
TX_20170HR1989,251989
TX_20170HR1990,251989
TX_20170HR1991,251989
TX_20170HR1992,251989
TX_20170HR1993,251989
TX_20170HR1994,251989
TX_20170HR1995,251989
TX_20170HR1996,251989
TX_20170HR1500,251990
TX_20170HR1779,251990
TX_20170HR1780,251990
TX_20170HR1781,251990
TX_20170HR1782,251990
TX_20170HR1783,251990
TX_20170HR1784,251990
TX_20170HR1785,251990
TX_20170HR1786,251990
TX_20170HR1787,251990
TX_20170HR1788,251990
TX_20170HR1789,251990
TX_20170HR1790,251990
TX_20170HR1791,251990
TX_20170HR1792,251990
TX_20170HR1793,251990
TX_20170HR1487,251991
TX_20170HR1489,251991
TX_20170HR1491,251991
TX_20170HR1492,251991
TX_20170HR1493,251991
TX_20170HR1495,251991
TX_20170HR1496,251991
TX_20170HR1497,251991
TX_20170HR1498,251991
TX_20170HR1499,251991
TX_20170HR1502,251991
TX_20170HR1503,251991
TX_20170HR1505,251991
TX_20170HR1506,251991
TX_20170HR1508,251991
TX_20170HR1509,251991
TX_20170HR1513,251991
TX_20170HR1514,251991
TX_20170HR1515,251991
TX_20170HR1516,251991
TX_20170HR1517,251991
TX_20170HR1518,251991
TX_20170HR1519,251991
TX_20170HR1520,251991
TX_20170HR1521,251991
TX_20170HR1522,251991
TX_20170HR1523,251991
TX_20170HR1524,251991
TX_20170HR1525,251991
TX_20170HR1526,251991
TX_20170HR1527,251991
TX_20170HR1528,251991
TX_20170HR1529,251991
TX_20170HR1530,251991
TX_20170HR1531,251991
TX_20170HR1532,251991
TX_20170HR1533,251991
TX_20170HR1535,251991
TX_20170HR1538,251991
TX_20170HR1539,251991
TX_20170HR1540,251991
TX_20170HR1541,251991
TX_20170HR1542,251991
TX_20170HR1543,251991
TX_20170HR1544,251991
TX_20170HR1547,251991
TX_20170HR1549,251991
TX_20170HR1550,251991
TX_20170HR1553,251991
TX_20170HR1554,251991
TX_20170HR1555,251991
TX_20170HR1556,251991
TX_20170HR1557,251991
TX_20170HR1558,251991
TX_20170HR1559,251991
TX_20170HR1560,251991
TX_20170HR1561,251991
TX_20170HR1562,251991
TX_20170HR1563,251991
TX_20170HR1564,251991
TX_20170HR1565,251991
TX_20170HR1566,251991
TX_20170HR1567,251991
TX_20170HR1568,251991
TX_20170HR1569,251991
TX_20170HR1570,251991
TX_20170HR1571,251991
TX_20170HR1572,251991
TX_20170HR1573,251991
TX_20170HR1574,251991
TX_20170HR1575,251991
TX_20170HR1576,251991
TX_20170HR1577,251991
TX_20170HR1578,251991
TX_20170HB1106,251943
TX_20170HB1247,251943
TX_20170HB1457,251943
TX_20170HB1586,251943
