hid,date,state,lastTouched,type,date_ts,lastTouched_ts,session_year,dr_changed,dr_changed_ts,subject
864,2016-03-08,CA,"2017-01-10 04:15:48",Budget,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
865,2016-03-09,CA,"2017-01-10 04:15:48",Informational,1457481600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
866,2016-03-09,CA,"2017-01-10 04:15:48",Regular,1457481600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
867,2016-03-09,CA,"2017-01-10 04:15:48",Informational,1457481600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
868,2016-03-08,CA,"2017-01-10 04:15:48",Informational,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
869,2016-03-09,CA,"2017-01-10 04:15:48",Budget,1457481600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
870,2016-03-09,CA,"2017-01-10 04:15:48",Informational,1457481600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
871,2016-03-09,CA,"2017-01-10 04:15:48",Budget,1457481600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
872,2016-03-09,CA,"2017-01-10 04:15:48",Budget,1457481600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
873,2016-03-10,CA,"2017-01-10 04:15:48",Budget,1457568000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
874,2016-03-10,CA,"2017-01-10 04:15:48",Regular,1457568000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
876,2016-03-10,CA,"2017-01-10 04:15:48",Budget,1457568000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
877,2016-03-10,CA,"2017-01-10 04:15:48",Regular,1457568000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
878,2015-08-31,CA,"2017-01-10 04:15:48",Regular,1440979200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
879,2015-08-31,CA,"2017-01-10 04:15:48",Regular,1440979200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
