pid,last,first,state
696,Thomas,William,CA
697,"Le Blanc",Martin,CA
698,Metropulos,Jim,CA
699,Mason,Paul,CA
700,Magavern,Bill,CA
701,Leland,Clarence,CA
702,Siverling,William,CA
703,Ward,Randall,CA
704,Kammerer,Lori,CA
705,Ordos,Wayne,CA
706,Ackler,Joseph,CA
707,Treat,Paula,CA
708,Thomas,Terri,CA
709,Gonsalves-Kinney,Mary,CA
710,Kahl,Michael,CA
711,Kim,Daniel,CA
713,Tindel,Jeannie,CA
714,Allen,Bruce,CA
715,Simoni,Ralph,CA
716,Walters,Robert,CA
717,Angelo,Ted,CA
718,Eowan,Anne,CA
719,Caldwell,John,CA
720,Heim,Ralph,CA
721,Malinowski-Ball,Julee,CA
722,Modisette,David,CA
723,Noack,Russell,CA
724,Taugher,Fred,CA
725,Wada,Jennifer,CA
726,Newman,Eric,CA
727,Pizarro,Sandra,CA
728,Sickenger,Jeffrey,CA
729,Holmes-Gen,Bonnie,CA
730,Knepprath,Paul,CA
731,Gonsalves,Jason,CA
732,Gonsalves,Anthony,CA
733,Gonsalves,Paul,CA
734,Hall,Danielle,CA
735,Howarth,Lori,CA
736,Zajac,Amy,CA
737,Bland,Tyrone,CA
738,Baugh,Scott,CA
739,Wesselman,Eric,CA
740,Scott,Kathryn,CA
741,Howe,Timothy,CA
742,Steffes,George,CA
743,Haleva,Jerry,CA
744,Hansen,Bev,CA
745,Lang,Joseph,CA
746,"Mc Cubbin",Sandi,CA
747,IV,George,CA
748,O'Malley,John,CA
749,Smith,Paul,CA
750,Corn,James,CA
751,McCARTHY,Sean,CA
752,Deddeh,Wadie,CA
753,Ellison,Brooks,CA
754,Johnson,Marc,CA
755,Scribner,Jerry,CA
756,Warriner,Tim,CA
757,Flatt,Dennis,CA
758,Hawkins,"J. Michael",CA
759,Mattos,Deborah,CA
760,Duncan,Denise,CA
761,Conlin,Peter,CA
762,Mattoch,Michael,CA
763,L.,Franco,CA
764,P.,Greene,CA
766,Miyamoto,Wayne,CA
767,Stassi,James,CA
768,Boatwright,Daniel,CA
769,Brownsey,Donne,CA
770,Brokaw,Barry,CA
771,Garcia,Robert,CA
773,Ochoa,Christopher,CA
774,Moore,Jacqueline,CA
775,"Lind Jr.",Allan,CA
776,Ochoa,Ralph,CA
777,"Mc Govern",Elizabeth,CA
778,Moretti,Matt,CA
779,"O. Abrams",James,CA
780,Naten,Derek,CA
781,Wilson,Bob,CA
782,Ross,Lynda,CA
783,White,Charles,CA
784,Garrett,Daniel,CA
785,Puccio,"S. Guy",CA
787,Granlund,Brett,CA
788,Lungren,Brian,CA
789,Shinstock,Holly,CA
790,Lynch,Timothy,CA
791,Noteware,Frederick,CA
792,Siverling,Matthew,CA
793,Judith,Citko,CA
794,Delgado,Alvarez,CA
795,Martin,Gallegos,CA
796,Glaser,Barbara,CA
798,Mary,Huttner,CA
799,Sheree,Kruckenberg,CA
800,Roger,Richter,CA
801,Riddell,Laura,CA
802,O'Reilly,Robert,CA
803,Griffin,Mary,CA
804,Gabhart,Jason,CA
805,Hill,Terri,CA
806,Snider,Barrett,CA
807,Burns,"B. Teri",CA
808,Birdsall,Peter,CA
809,Burns,Donald,CA
810,Marzec,Edwin,CA
811,Gambee,Peter,CA
812,Sobel,Laurie,CA
813,Chavez,Elena,CA
814,Savage,Mark,CA
815,Odabashian,Elisa,CA
816,Agredano,Yvette,CA
817,Yoder,Paul,CA
818,Shaw,Joshua,CA
819,Rice,Richard,CA
820,Halko,Lisa,CA
821,Renfree,Thomas,CA
822,Snyder,Jennifer,CA
824,Chilgren,Delia,CA
825,Castro,Vivian,CA
826,Hoffman,Erika,CA
827,Breed,Kirk,CA
828,Hiestand,Fred,CA
829,Korinke,Jean,CA
830,Docherty,Bryce,CA
831,Lynn,Dohn,CA
832,Arriaga,John,CA
833,Lee,Stanley,CA
834,Rhine,Jason,CA
835,Hill,Wendy,CA
836,Govenar,Hedy,CA
837,Tom,Ronald,CA
838,Imholz,Elizabeth,CA
839,Lui,Earl,CA
840,Garcia,Norma,CA
841,Hillebrand,Gail,CA
842,Harper,Michelle,CA
843,Benitez,Ann,CA
844,Sarver,Justine,CA
845,Okumu,Lucy,CA
846,Cohagan,Jessica,CA
847,Burgat,Marc,CA
848,Levy,Robert,CA
849,Frazier,Rex,CA
850,Astor,John,CA
851,Ferguson,Barbara,CA
852,Curry,Paul,CA
854,Brode,Elizabeth,CA
